               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069394,             0.02265,            0.038266,             0.28344,             0.60073,              0.4668,             0.24642,            0.050145,            0.007889,            0.015496,            0.070068,           0.0033257,           0.0033257
                   1,            0.051204,            0.017871,            0.012127,             0.48399,             0.70258,             0.57072,             0.34101,            0.042435,           0.0067647,           0.0090502,            0.040055,           0.0066459,           0.0066459
                   2,            0.048096,            0.016957,            0.011467,             0.49495,             0.66324,             0.54522,              0.3171,            0.043114,           0.0073976,            0.010027,            0.010029,           0.0099528,           0.0099528
                   3,            0.046003,            0.017801,            0.011883,             0.46005,             0.56404,              0.4595,             0.28126,            0.050671,           0.0087581,            0.021404,           0.0099406,           0.0099406,           0.0099406
                   4,            0.044951,            0.018099,            0.011168,             0.51555,             0.65084,             0.51776,             0.30525,            0.043403,           0.0079783,             0.01152,           0.0099406,           0.0099406,           0.0099406
                   5,             0.04333,            0.017753,            0.010899,             0.49836,             0.70138,             0.56439,             0.34207,            0.038718,           0.0072642,           0.0084447,           0.0099208,           0.0099208,           0.0099208
                   6,            0.042618,             0.01721,            0.010141,             0.54398,             0.71628,             0.60869,             0.37084,            0.037619,           0.0069299,           0.0070589,            0.009901,            0.009901,            0.009901
                   7,            0.040924,             0.01735,           0.0093075,             0.56311,             0.75469,             0.60824,             0.37672,            0.036468,           0.0068888,            0.006743,           0.0098812,           0.0098812,           0.0098812
                   8,            0.039942,             0.01687,            0.008482,               0.559,             0.76575,             0.63122,             0.38357,            0.036368,           0.0067649,           0.0063757,           0.0098614,           0.0098614,           0.0098614
                   9,            0.039141,            0.016679,            0.007866,             0.61376,             0.72908,             0.66489,             0.40624,            0.035052,           0.0065649,           0.0058031,           0.0098416,           0.0098416,           0.0098416
                  10,            0.038193,            0.016387,           0.0072538,              0.6728,             0.73558,             0.71029,             0.44008,            0.033607,           0.0063065,           0.0052436,           0.0098218,           0.0098218,           0.0098218
                  11,            0.037543,            0.016019,           0.0068853,             0.61227,             0.75403,             0.68859,             0.42964,            0.034863,           0.0065749,            0.005361,            0.009802,            0.009802,            0.009802
                  12,            0.037125,             0.01626,           0.0064291,             0.67266,             0.75487,             0.69397,             0.43997,             0.03278,           0.0065005,           0.0050862,           0.0097822,           0.0097822,           0.0097822
                  13,            0.036741,            0.015904,           0.0065699,             0.66842,              0.7817,             0.70526,             0.45136,            0.032391,           0.0062025,           0.0045165,           0.0097624,           0.0097624,           0.0097624
                  14,            0.036218,            0.015922,           0.0061424,             0.64652,             0.79987,             0.71677,             0.44986,            0.031796,           0.0061923,           0.0051608,           0.0097426,           0.0097426,           0.0097426
                  15,             0.03603,            0.015672,           0.0062413,             0.65798,             0.79024,             0.72273,             0.45321,            0.032021,           0.0062581,           0.0050199,           0.0097228,           0.0097228,           0.0097228
                  16,            0.035455,            0.015656,           0.0058522,             0.68469,               0.785,             0.73007,             0.45993,            0.032088,           0.0061565,           0.0043951,            0.009703,            0.009703,            0.009703
                  17,            0.034763,            0.015576,           0.0059769,             0.66751,             0.81829,             0.74631,             0.47927,             0.03089,           0.0060788,           0.0042075,           0.0096832,           0.0096832,           0.0096832
                  18,            0.034904,            0.015517,           0.0055864,             0.68377,             0.78297,             0.74523,             0.48252,            0.030653,           0.0061003,           0.0041604,           0.0096634,           0.0096634,           0.0096634
                  19,            0.034404,            0.015467,           0.0055373,             0.70075,             0.78013,             0.74829,             0.49054,            0.030388,           0.0059508,           0.0039683,           0.0096436,           0.0096436,           0.0096436
                  20,            0.034198,            0.015234,           0.0052264,             0.69152,             0.80752,             0.74563,             0.49391,            0.030376,           0.0059821,           0.0037367,           0.0096238,           0.0096238,           0.0096238
                  21,            0.034022,            0.015098,           0.0055485,             0.68879,             0.81841,             0.75405,             0.48962,            0.030448,           0.0060187,           0.0037636,            0.009604,            0.009604,            0.009604
                  22,            0.033457,            0.014984,           0.0054323,             0.73806,             0.78826,             0.76083,             0.49508,            0.030579,           0.0059085,           0.0036832,           0.0095842,           0.0095842,           0.0095842
                  23,            0.033347,            0.014941,           0.0050487,             0.70855,             0.81289,               0.769,             0.50865,            0.030208,           0.0059446,           0.0034835,           0.0095644,           0.0095644,           0.0095644
                  24,            0.032996,            0.015007,           0.0051906,             0.72518,             0.81668,             0.76462,             0.50249,            0.029974,           0.0057617,           0.0033433,           0.0095446,           0.0095446,           0.0095446
                  25,            0.032737,            0.014683,            0.005005,             0.72514,             0.80863,             0.76373,             0.50353,            0.029774,           0.0058825,           0.0034379,           0.0095248,           0.0095248,           0.0095248
                  26,            0.032563,            0.014536,           0.0050028,             0.70846,              0.8339,             0.76793,             0.51027,            0.029966,           0.0059115,            0.003523,            0.009505,            0.009505,            0.009505
                  27,            0.032575,             0.01465,           0.0050393,             0.70117,             0.82818,             0.75978,             0.50388,            0.030044,           0.0058969,           0.0036033,           0.0094852,           0.0094852,           0.0094852
                  28,            0.032489,            0.014627,           0.0050016,             0.72464,             0.82858,             0.77342,             0.51579,            0.029298,           0.0056312,           0.0033531,           0.0094654,           0.0094654,           0.0094654
                  29,            0.032107,            0.014497,           0.0046431,             0.71518,              0.8265,             0.77468,             0.50822,            0.029199,           0.0057723,            0.003222,           0.0094456,           0.0094456,           0.0094456
                  30,            0.031989,            0.014725,           0.0047981,             0.72901,             0.82544,             0.77434,             0.52272,            0.029267,           0.0056424,           0.0031522,           0.0094258,           0.0094258,           0.0094258
                  31,            0.032207,            0.014618,           0.0047629,              0.7217,             0.84963,             0.77107,              0.5141,            0.029328,           0.0057443,           0.0033063,            0.009406,            0.009406,            0.009406
                  32,            0.031497,            0.014147,           0.0044858,             0.71198,             0.82866,             0.78009,             0.52946,            0.028638,           0.0055688,           0.0031341,           0.0093862,           0.0093862,           0.0093862
                  33,            0.031277,            0.014044,            0.004414,             0.73057,             0.83932,             0.77766,             0.51893,            0.028852,           0.0056053,           0.0032379,           0.0093664,           0.0093664,           0.0093664
                  34,            0.031068,            0.013991,            0.004232,             0.71968,             0.85173,             0.77156,             0.52645,            0.028194,           0.0055575,           0.0030758,           0.0093466,           0.0093466,           0.0093466
                  35,            0.030896,            0.014048,           0.0041365,             0.73062,               0.856,              0.7832,             0.52903,            0.028532,           0.0055383,           0.0031931,           0.0093268,           0.0093268,           0.0093268
                  36,              0.0309,            0.013952,           0.0043868,             0.74374,             0.83977,              0.7858,             0.53392,            0.028312,           0.0055762,           0.0031341,            0.009307,            0.009307,            0.009307
                  37,            0.030698,            0.014066,           0.0042872,             0.73478,             0.85899,              0.7871,             0.53801,            0.027918,           0.0055454,           0.0030559,           0.0092872,           0.0092872,           0.0092872
                  38,            0.030715,            0.013801,           0.0044015,             0.74265,             0.84743,             0.78489,             0.53303,            0.027778,           0.0055163,           0.0031449,           0.0092674,           0.0092674,           0.0092674
                  39,            0.030448,            0.014072,           0.0043527,              0.7421,             0.84004,             0.78416,             0.52992,            0.027717,           0.0055024,           0.0032276,           0.0092476,           0.0092476,           0.0092476
                  40,            0.030447,            0.013818,           0.0041801,             0.74945,             0.84911,             0.78584,             0.53346,            0.027745,           0.0054827,            0.003243,           0.0092278,           0.0092278,           0.0092278
                  41,            0.030314,            0.013918,           0.0042055,             0.73232,             0.85672,             0.78999,             0.53919,            0.027505,           0.0054961,           0.0029644,            0.009208,            0.009208,            0.009208
                  42,            0.030255,            0.013959,            0.004158,             0.74951,              0.8377,             0.78481,             0.53364,            0.027746,           0.0054996,           0.0031065,           0.0091882,           0.0091882,           0.0091882
                  43,            0.029849,            0.013552,           0.0041376,             0.74317,              0.8591,             0.78906,             0.54259,            0.027361,           0.0055054,           0.0030681,           0.0091684,           0.0091684,           0.0091684
                  44,             0.03001,            0.013683,           0.0040798,              0.7443,             0.87058,             0.79272,             0.54433,            0.027059,           0.0054017,           0.0028274,           0.0091486,           0.0091486,           0.0091486
                  45,            0.029892,            0.013623,           0.0039962,             0.74694,             0.83719,             0.78822,             0.54233,            0.027422,           0.0054279,           0.0029034,           0.0091288,           0.0091288,           0.0091288
                  46,            0.029808,            0.013505,           0.0040013,             0.73557,             0.86603,             0.78739,              0.5371,            0.027314,           0.0054689,           0.0031352,            0.009109,            0.009109,            0.009109
                  47,            0.029632,            0.013668,           0.0039445,             0.71345,             0.85953,             0.78219,             0.54273,            0.027332,           0.0054368,           0.0029056,           0.0090892,           0.0090892,           0.0090892
                  48,            0.029421,            0.013459,           0.0037848,             0.73744,             0.86708,              0.7947,             0.55298,            0.027347,           0.0053845,           0.0028463,           0.0090694,           0.0090694,           0.0090694
                  49,            0.029252,            0.013426,           0.0039523,             0.74409,             0.86266,             0.79273,             0.55344,            0.026699,            0.005359,           0.0028296,           0.0090496,           0.0090496,           0.0090496
                  50,            0.029368,            0.013323,           0.0039243,             0.75945,             0.86818,             0.80607,             0.56015,            0.026934,           0.0052869,           0.0028786,           0.0090298,           0.0090298,           0.0090298
                  51,            0.029234,            0.013269,           0.0038806,             0.74769,             0.86744,              0.7941,             0.55257,            0.026854,           0.0053986,           0.0029454,             0.00901,             0.00901,             0.00901
                  52,            0.029057,            0.013266,           0.0040402,             0.76155,             0.86946,             0.80297,             0.56043,            0.026835,           0.0053036,           0.0027944,           0.0089902,           0.0089902,           0.0089902
                  53,            0.028987,            0.013553,           0.0040401,             0.75824,             0.85998,             0.79633,             0.55157,            0.026578,           0.0053065,           0.0028972,           0.0089704,           0.0089704,           0.0089704
